version,url,sha,beta
0.13.4,https://releases.hashicorp.com/terraform/0.13.4/terraform_0.13.4_linux_amd64.zip,a92df4a151d390144040de5d18351301e597d3fae3679a814ea57554f6aa9b24,false
0.13.0-beta2,https://releases.hashicorp.com/terraform/0.13.0-beta2/terraform_0.13.0-beta2_linux_amd64.zip,ae0c4cb78b8e406f26b77863bc09a47dfb9b7e7fbcf4cd672d737eb7ea6a52b6,true
0.12.13,https://releases.hashicorp.com/terraform/0.12.13/terraform_0.12.13_linux_amd64.zip,63f765a3f83987b67b046a9c31acff1ec9ee618990d0eab4db34eca6c0d861ec,false
0.11.2,https://releases.hashicorp.com/terraform/0.11.2/terraform_0.11.2_linux_amd64.zip,f728fa73ff2a4c4235a28de4019802531758c7c090b6ca4c024d48063ab8537b,false
0.9.11,https://releases.hashicorp.com/terraform/0.9.11/terraform_0.9.11_linux_amd64.zip,804d31cfa5fee5c2b1bff7816b64f0e26b1d766ac347c67091adccc2626e16f3,false
1.1.0-alpha20210728,https://releases.hashicorp.com/terraform/1.1.0-alpha20210728/terraform_1.1.0-alpha20210728_linux_amd64.zip,89686fea25dd9b4f6acf6d3381e089b59352f0c17873b9c63cf7f56a9b7c6c19,false
0.15.0-rc1,https://releases.hashicorp.com/terraform/0.15.0-rc1/terraform_0.15.0-rc1_linux_amd64.zip,a29ad95e83a7ea4d4007e962182dfc4ca393d66f9963fcc06fc79884f8e35bae,true
0.12.2,https://releases.hashicorp.com/terraform/0.12.2/terraform_0.12.2_linux_amd64.zip,d9a96b646420d7f0a80aa5d51bb7b2a125acead537ab13c635f76668de9b8e32,false
0.12.0-rc1,https://releases.hashicorp.com/terraform/0.12.0-rc1/terraform_0.12.0-rc1_linux_amd64.zip,b16b32c39de9597b381c0ba189c08a37ea1c56cbca23122a3675a0481158944e,true
0.8.4,https://releases.hashicorp.com/terraform/0.8.4/terraform_0.8.4_linux_amd64.zip,297d35d0b4311445cd87ef032d3dec917bcc7a8b163ead28a4c45d966a2f75cc,false
0.7.5,https://releases.hashicorp.com/terraform/0.7.5/terraform_0.7.5_linux_amd64.zip,7def82015b3a9a1bab13b4548e4c8d4ac960322a815cff7d9ebf76ef74a4cb34,false
0.6.8,https://releases.hashicorp.com/terraform/0.6.8/terraform_0.6.8_linux_amd64.zip,fd61718820c3f2334276517a89694cebe82db354b584ea90c376f1c6d34bb92d,false
0.14.0-beta2,https://releases.hashicorp.com/terraform/0.14.0-beta2/terraform_0.14.0-beta2_linux_amd64.zip,4c2a46e964926624780dd23fa2251964c611c47895ff162001f14dbed8ec4822,true
0.12.16,https://releases.hashicorp.com/terraform/0.12.16/terraform_0.12.16_linux_amd64.zip,fcc719314660adc66cbd688918d13baa1095301e2e507f9ac92c9e22acf4cc02,false
0.11.10,https://releases.hashicorp.com/terraform/0.11.10/terraform_0.11.10_linux_amd64.zip,43543a0e56e31b0952ea3623521917e060f2718ab06fe2b2d506cfaa14d54527,false
0.9.3,https://releases.hashicorp.com/terraform/0.9.3/terraform_0.9.3_linux_amd64.zip,f34b96f7b7edaf8c4dc65f6164ba0b8f21195f5cbe5b7288ad994aa9794bb607,false
0.11.9,https://releases.hashicorp.com/terraform/0.11.9/terraform_0.11.9_linux_amd64.zip,5d674e7b83945c37f7f14d0e4f655787dad86ba15b26e185604aa0c3812394ab,false
0.11.9-beta1,https://releases.hashicorp.com/terraform/0.11.9-beta1/terraform_0.11.9-beta1_linux_amd64.zip,6f235d05a3e0b3cd79264834448064b52079c4268ed0c2de25e10c79386f746e,true
0.11.0,https://releases.hashicorp.com/terraform/0.11.0/terraform_0.11.0_linux_amd64.zip,402b4333792967986383670134bb52a8948115f83ab6bda35f57fa2c3c9e9279,false
0.9.2,https://releases.hashicorp.com/terraform/0.9.2/terraform_0.9.2_linux_amd64.zip,a916228ea4c19c91c9a5dee2905885f517eb7c31ba4dbf5d79f9f36606973313,false
1.1.0-rc1,https://releases.hashicorp.com/terraform/1.1.0-rc1/terraform_1.1.0-rc1_linux_amd64.zip,51113913f04769561fc83d8025d64ed7520338982509d2284033b7763e7c6ffe,true
0.15.5,https://releases.hashicorp.com/terraform/0.15.5/terraform_0.15.5_linux_amd64.zip,3b144499e08c245a8039027eb2b84c0495e119f57d79e8fb605864bb48897a7d,false
0.12.11,https://releases.hashicorp.com/terraform/0.12.11/terraform_0.12.11_linux_amd64.zip,d61f8758a25bc079bb0833b81f998fbc4cf03bb0f41b995e08204cf5978f700e,false
0.11.11,https://releases.hashicorp.com/terraform/0.11.11/terraform_0.11.11_linux_amd64.zip,94504f4a67bad612b5c8e3a4b7ce6ca2772b3c1559630dfd71e9c519e3d6149c,false
0.6.12,https://releases.hashicorp.com/terraform/0.6.12/terraform_0.6.12_linux_amd64.zip,37513aba20f751705f8f98cd0518ebb6a4a9c2148453236b9a5c30074e2edd8d,false
0.11.13,https://releases.hashicorp.com/terraform/0.11.13/terraform_0.11.13_linux_amd64.zip,5925cd4d81e7d8f42a0054df2aafd66e2ab7408dbed2bd748f0022cfe592f8d2,false
0.8.3,https://releases.hashicorp.com/terraform/0.8.3/terraform_0.8.3_linux_amd64.zip,aa4c64b0595b8e49fc12da79d3efb7fb3f3653230349819699b9db1a76c51f3b,false
0.6.16,https://releases.hashicorp.com/terraform/0.6.16/terraform_0.6.16_linux_amd64.zip,e10987bca7ec15301bc2fd152795d51cfc9fdbe6c70c9708e6e2ed81eaa1f082,false
1.1.0-alpha20211020,https://releases.hashicorp.com/terraform/1.1.0-alpha20211020/terraform_1.1.0-alpha20211020_linux_amd64.zip,c8769b93162cce9439a0f0487f085402aebf316401c47916b8879bccb7f2ce05,false
1.0.1,https://releases.hashicorp.com/terraform/1.0.1/terraform_1.0.1_linux_amd64.zip,da94657593636c8d35a96e4041136435ff58bb0061245b7d0f82db4a7728cef3,false
0.14.0-alpha20201007,https://releases.hashicorp.com/terraform/0.14.0-alpha20201007/terraform_0.14.0-alpha20201007_linux_amd64.zip,7528187b5023e87ef5e179342b66b2514687ddf35c6ac279f549000272983aff,false
0.12.18,https://releases.hashicorp.com/terraform/0.12.18/terraform_0.12.18_linux_amd64.zip,e7ebe3ca988768bffe0c239d107645bd53515354cff6cbe5651718195a151700,false
1.0.3,https://releases.hashicorp.com/terraform/1.0.3/terraform_1.0.3_linux_amd64.zip,99c4866ffc4d3a749671b1f74d37f907eda1d67d7fc29ed5485aeff592980644,false
0.14.3,https://releases.hashicorp.com/terraform/0.14.3/terraform_0.14.3_linux_amd64.zip,aa7b6cb6f366ffb920083b2a9739079ee560240ca31b580fe422af4af28cbb5a,false
0.13.7,https://releases.hashicorp.com/terraform/0.13.7/terraform_0.13.7_linux_amd64.zip,4a52886e019b4fdad2439da5ff43388bbcc6cce9784fde32c53dcd0e28ca9957,false
0.12.22,https://releases.hashicorp.com/terraform/0.12.22/terraform_0.12.22_linux_amd64.zip,98faa10a7da2055561339ce67436b37c0c760084e51f219102d87b155be088c5,false
